herramienta,severidad,hallazgo,control_iso27001,objetivo_cobit
Trivy,High,CVE-2026-78409 en libmount1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78410 en libmount1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-69720 en libncursesw6 6.5+20250216-2,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-13221 en libperl5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-42496 en libperl5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-8376 en libperl5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-42497 en libperl5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-48962 en libperl5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-57432 en libperl5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-57433 en libperl5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-9538 en libperl5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-76642 en libsmartcols1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78408 en libsmartcols1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78409 en libsmartcols1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78410 en libsmartcols1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-11822 en libsqlite3-0 3.46.1-7+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-11824 en libsqlite3-0 3.46.1-7+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-14456 en libssl3t64 3.5.6-1~deb13u2,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-16742 en libsystemd0 257.13-1~deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-69720 en libtinfo6 6.5+20250216-2,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-16742 en libudev1 257.13-1~deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-76642 en libuuid1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78408 en libuuid1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78409 en libuuid1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78410 en libuuid1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-6653 en libxml2 2.12.7+dfsg+really2.9.14-2.1+deb13u3,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-86140 en libxml2 2.12.7+dfsg+really2.9.14-2.1+deb13u3,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-76642 en login 1:4.16.0-2+really2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78408 en login 1:4.16.0-2+really2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78409 en login 1:4.16.0-2+really2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78410 en login 1:4.16.0-2+really2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
